Species,GF,log LL,log LMA,log Nmass,log Narea,,,,
Allophylus camptostachys,T,,2.03,0.053,0.084,,,,
Amphitecna tuxtlensis,T,,1.93,0.154,0.086,,,,
Astrocaryum mexicanum,T,,1.87,0.222,0.096,,,,
Brosimum alicastrum,T,,1.80,0.329,0.132,,,,
Bursera simaruba,T,,1.93,0.180,0.109,,,,
Capparis baducca,T,,1.75,0.213,-0.038,,,,
Casearia sylvestris,T,,1.80,,,,,,
Cecropia obtusifolia,T,,1.89,0.344,0.238,,,,
Chamaedorea alternans,T,,1.62,0.080,-0.299,,,,
Chamaedorea pinnatifrons,T,,1.61,0.247,-0.141,,,,
Clarisia biflora,T,,2.03,0.322,0.354,,,,
Coccoloba hondurensis,T,,2.02,,,,,,
Cordia megalantha,T,,1.93,0.329,0.263,,,,
Croton schiedeanus,T,,1.82,0.282,0.100,,,,
Cupania dentata,T,,2.06,0.177,0.237,,,,
Cymbopetalum baillonii,T,,2.04,0.119,0.162,,,,
Cynometra retusa,T,,2.11,0.072,0.178,,,,
Dendropanax arboreus,T,,1.97,-0.048,-0.076,,,,
Dialium guianense,T,,1.92,0.227,0.148,,,,
Dussia mexicana,T,,1.92,0.200,0.115,,,,
Erythrina folkersii,T,,1.69,0.444,0.130,,,,
Faramea occidentalis,T,,1.94,0.092,0.032,,,,
Ficus tecolutensis,T,,2.12,,,,,,
Ficus yoponensis,T,,2.02,0.237,0.256,,,,
Guamia LT sp1,T,,1.66,0.240,-0.103,,,,
Guarea glabra,T,,2.06,0.243,0.306,,,,
Guarea grandifolia,T,,2.00,0.204,0.207,,,,
Hampea nutricia,T,,1.79,0.323,0.110,,,,
Heliocarpus appendiculatus,T,,1.71,0.326,0.040,,,,
Inga quaternata,T,,1.97,,,,,,
Lonchocarpus guatemalensis,T,,1.99,0.394,0.382,,,,
Lunania mexicana,T,,1.74,0.176,-0.080,,,,
Mortoniodendron guatemalense,T,,2.00,0.180,0.180,,,,
Nectandra ambigens,T,,2.14,0.228,0.364,,,,
Omphalea oleifera,T,,1.85,0.403,0.249,,,,
Orthion oblanceolatum,T,,1.84,0.202,0.043,,,,
Piper amalago,T,,1.82,0.327,0.144,,,,
Pleuranthodendron lindenii,T,,2.00,0.143,0.139,,,,
Poulsenia armata,T,,2.07,0.223,0.297,,,,
Pouteria durlandii,T,,2.11,0.201,0.314,,,,
Pouteria rhynchocarpa,T,,1.96,0.029,-0.009,,,,
Pseudolmedia oxyphyllaria,T,,1.94,0.015,-0.049,,,,
Psychotria chiapensis,T,,1.73,0.253,-0.017,,,,
Psychotria faxlucens,T,,1.74,0.140,-0.117,,,,
Psychotria flava,T,,2.04,0.038,0.081,,,,
Psychotria simiarum,T,,1.62,0.206,-0.169,,,,
Pterocarpus rohrii,T,,1.98,0.272,0.255,,,,
Quararibea yunckeri,T,,1.77,0.129,-0.100,,,,
Garcinia intermedia,T,,2.14,-0.123,0.016,,,,
Robinsonella mirandae,T,,1.78,0.290,0.069,,,,
Spondias radlkoferi,T,,1.86,0.152,0.012,,,,
Stemmadenia donnell-smithii,T,,1.73,0.351,0.076,,,,
Trema micrantha,T,,1.76,0.360,0.120,,,,
Trichilia martiana,T,,1.79,0.336,0.122,,,,
Trichospermum mexicanum,T,,1.98,0.257,0.238,,,,
Trophis mexicana,T,,1.81,0.227,0.033,,,,
Turpinia occidentalis,T,,1.91,0.048,-0.043,,,,
Vatairea lundellii,T,,1.93,0.191,0.124,,,,
Vochysia guatemalensis,T,,2.05,0.025,0.076,,,,
Zanthoxylum kellermanii,T,,1.82,0.319,0.136,,,,
Quercus falcata,T,0.92,2.12,0.167,0.291,,,,
Quercus hemispherica,T,0.96,2.13,0.083,0.217,,,,
Quercus incana,T,0.75,2.03,-0.022,0.011,,,,
Quercus laurifolia,T,0.88,2.10,0.121,0.223,,,,
Quercus laevis,T,0.93,2.04,0.185,0.221,,,,
Quercus myrtifolia,T,1.09,2.10,0.009,0.113,,,,
Quercus nigra,T,0.94,2.11,0.111,0.221,,,,
Quercus shumardii,T,0.92,1.99,0.225,0.219,,,,
Quercus pumila,T,0.84,2.08,0.004,0.085,,,,
Quercus stellata,T,0.90,2.15,0.238,0.390,,,,
Quercus margaretta,T,0.88,2.04,0.204,0.249,,,,
Quercus michauxii,T,0.92,2.21,-0.051,0.157,,,,
Quercus austrina,T,0.91,2.06,0.288,0.347,,,,
Quercus chapmanii,T,0.94,2.06,0.143,0.204,,,,
Quercus geminata,T,1.04,2.35,-0.060,0.294,,,,
Quercus minima,T,0.84,2.01,0.250,0.262,,,,
Quercus virginiana,T,1.01,2.17,0.121,0.291,,,,
Dacrydium beccarii,T,,,-0.051,,,,,
Eugenia caudata,T,,,-0.187,,,,,
Eugenia stapfiana,T,,,-0.066,,,,,
Eurycoma longifolia,T,,,,,,,,
Podocarpus neriifolius,T,,,-0.161,,,,,
Spondias radlkoferi,T,0.67,,0.423,,,,,
Annona spraguei,T,0.59,,0.342,,,,,
Desmopsis panamensis,T,,,0.344,,,,,
Guatteria dumentorum,T,1.32,,0.371,,,,,
Aspidosperma megalocarpon,T,1.46,,0.111,,,,,
Jacaranda copaia,T,0.85,,0.369,,,,,
Tabebuia rosea,T,0.90,,0.369,,,,,
Ochroma pyramidale,T,,,0.348,,,,,
Quararibea asterolepsis,T,1.07,,0.391,,,,,
Cordia alliodora,T,0.93,,0.491,,,,,
Protium tenuifolium,T,1.28,,0.233,,,,,
Tetragastris panamensis,T,1.36,,0.193,,,,,
Trattinickia aspera,T,0.84,,0.348,,,,,
Prioria copaifera,T,1.46,,0.332,,,,,
Swartzia simplex,T,1.68,,0.413,,,,,
Tachigali versicolor,T,1.36,,0.354,,,,,
Hirtella triandra,T,1.10,,0.258,,,,,
Alchornea costaricense,T,0.72,,0.365,,,,,
Croton bilbergianus,T,,,0.433,,,,,
Hyeronima alcheornoides,T,0.82,,0.386,,,,,
Sapium aucuparium,T,0.72,,0.484,,,,,
Casearia arborea,T,0.94,,0.450,,,,,
Zuelania guidonia,T,0.85,,0.299,,,,,
Calophyllum longifolium,T,1.54,,0.068,,,,,
Miconia argentea,T,0.95,,0.223,,,,,
Guarea glabra,T,1.48,,0.491,,,,,
Guarea multiflora,T,1.53,,0.380,,,,,
Trichilia cipo,T,1.51,,0.314,,,,,
Cecropia insignis,T,0.67,,0.318,,,,,
Cecropia obtusifolia,T,0.60,,0.470,,,,,
Poulsenia armata,T,1.45,,0.204,,,,,
Virola sebifera,T,1.38,,0.433,,,,,
Alseis blackiana,T,1.01,,0.473,,,,,
Faramea occidentalis,T,,,0.207,,,,,
Macrocnemum glabrescens,T,0.96,,0.371,,,,,
Zanthoxylum ekmanii,T,0.67,,0.428,,,,,
Zanthoxylum panamense,T,0.88,,0.450,,,,,
Cupania rufescens,T,1.32,,0.272,,,,,
Cupania sylvatica,T,1.48,,0.410,,,,,
Chrysophyllum argenteum,T,0.93,,0.255,,,,,
Pouteria reticulata,T,1.43,,0.465,,,,,
Simarouba amara,T,1.04,,0.373,,,,,
Apeiba aspera,T,0.77,,0.340,,,,,
Apeiba tibourbou,T,0.59,,0.422,,,,,
Luehea seemannii,T,0.69,,0.418,,,,,
Trema micrantha,T,0.81,,0.461,,,,,
Acer platanoides,T,,1.76,0.372,0.129,,,,
Acer pseudoplatanus,T,,1.88,0.454,0.330,,,,
Aesculus hippocastanum,T,,1.86,0.372,0.235,,,,
Alnus glutinosa,T,,1.84,0.549,0.385,,,,
Betula pendula,T,,1.86,0.440,0.305,,,,
Castanea sativa,T,,1.88,0.376,0.252,,,,
Corylus avellana,T,,1.83,0.390,0.222,,,,
Euonymus europaeus,T,,1.81,0.389,0.200,,,,
Fagus sylvatica,T,,1.91,0.378,0.288,,,,
Fraxinus excelsior,T,,1.89,0.410,0.303,,,,
Ilex aquifolium,T,,2.11,0.206,0.319,,,,
Juglans regia,T,,1.84,0.341,0.177,,,,
Laburnum anagyroides,T,,1.75,0.532,0.281,,,,
Larix decidua,T,,2.04,0.353,0.391,,,,
Malus sylvestris,T,,1.93,0.337,0.266,,,,
Picea sitchensis,T,,2.19,0.116,0.303,,,,
Pinus sylvestris,T,,2.15,0.224,0.370,,,,
Quercus cerris,T,,2.00,0.437,0.440,,,,
Quercus ilex,T,,2.20,0.370,0.574,,,,
Quercus petraea,T,,1.87,0.410,0.279,,,,
Quercus robur,T,,1.88,0.458,0.338,,,,
Quercus rubra,T,,1.76,0.355,0.113,,,,
Robinia pseudoacacia,T,,1.70,0.473,0.169,,,,
Salix caprea,T,,1.84,0.432,0.274,,,,
Sorbus aucuparia,T,,1.86,0.403,0.259,,,,
Taxus baccata,T,,2.07,0.378,0.452,,,,
Ulmus glabra,T,,1.88,0.339,0.218,,,,
Amelanchier alnifolia,T,,2.03,0.260,0.288,,,,
Juniperus osteosperma,T,,2.81,-0.121,0.691,,,,
Pinus jeffreyi,T,,2.52,0.033,0.552,,,,
Pinus monophylla,T,,2.87,-0.048,0.825,,,,
Pinus ponderosa,T,,2.50,-0.015,0.485,,,,
Didymopanax macrocarpum,T,,,,,,,,
Qualea grandiflora,T,,,,,,,,
Acer monspessulanum,T,,1.92,0.348,0.272,,,,
Pistacia terebinthus,T,,1.97,0.334,0.301,,,,
Quercus ilex,T,,2.17,0.218,0.392,,,,
Quercus pubescens,T,,2.00,0.229,0.234,,,,
Acer monspessulanum,T,0.76,1.84,0.328,0.173,,,,
Pistacia terebinthus,T,,1.84,0.394,0.239,,,,
Quercus pubescens,T,,1.97,0.325,0.300,,,,
Acer monspessulanum,T,,1.90,0.254,0.153,,,,
Pistacia terebinthus,T,0.75,1.99,0.325,0.315,,,,
Quercus ilex,T,1.36,2.23,0.114,0.340,,,,
Quercus pubescens,T,0.83,2.04,0.304,0.340,,,,
Pinus halepensis,T,,2.10,0.114,0.212,,,,
Arbutus unedo,T,,2.22,0.076,0.118,,,,
Quercus Ilex,T,,2.29,0.196,0.411,,,,
Acer opalus,T,,1.75,0.515,0.267,,,,
Ceratonia siliqua,T,,2.40,0.155,0.557,,,,
Fraxinus angustifolia,T,,2.05,0.375,0.446,,,,
Populus alba,T,,1.96,0.371,0.056,,,,
Quercus humilis,T,,2.02,0.436,0.441,,,,
Castanopsis sieboldii,T,1.15,2.08,0.002,0.086,,,,
Quercus acuta,T,1.16,2.05,-0.100,-0.055,,,,
Camellia japonica,T,1.09,2.01,0.006,0.011,,,,
Cleyera japonica,T,0.89,2.02,0.060,0.085,,,,
Cinnamomum japonicum,T,1.38,2.05,-0.010,0.040,,,,
Neolitsea sericea,T,1.20,1.98,0.021,0.001,,,,
Illicium anisatum,T,1.22,1.76,0.098,-0.139,,,,
Syzygium sp1,T,,1.82,0.170,-0.043,,,,
Macaranga triloba,T,,1.54,0.515,0.067,,,,
Parashorea malaanonan,T,,1.69,0.280,-0.032,,,,
Shorea argentifolia,T,,1.67,0.324,-0.011,,,,
Syzygium confertum,T,,2.06,0.132,0.187,,,,
Macaranga sp,T,,1.82,0.171,-0.005,,,,
Trigonobalanus verticillatus,T,,1.99,0.184,0.171,,,,
Tristaniopsis clementis,T,,2.10,0.053,0.146,,,,
Syzygium houttuynii,T,,2.26,0.101,0.352,,,,
Lithocarpus havilandii,T,,2.32,0.085,0.404,,,,
Photinia davidiana,T,,2.17,0.347,0.505,,,,
Schima brevifolia,T,,2.20,0.087,0.294,,,,
Syzygium sp2,T,,2.26,0.246,0.503,,,,
Photinia davidiana,T,,2.11,0.336,0.428,,,,
Scolopia crassipes,T,,2.08,0.134,0.212,,,,
Eugenia mabaeoides,T,,1.95,0.111,0.064,,,,
Acronychia pedunculata,T,,2.01,0.322,0.334,,,,
Actinodaphne ambigua,T,,2.18,0.057,0.241,,,,
Allophylus varians,T,,1.94,0.356,0.301,,,,
Michelia nilagirica,T,,1.92,0.262,0.182,,,,
Acer saccharum,T,,1.81,0.207,0.021,,,,
Carya glabra,T,,1.87,0.220,0.093,,,,
Fagus grandifolia,T,,1.83,0.294,0.124,,,,
Liriodendron tulipifera,T,,1.88,0.236,0.120,,,,
Quercus alba,T,,1.90,0.253,0.149,,,,
Quercus prinus,T,,1.94,0.176,0.116,,,,
Quercus rubra,T,,1.97,0.210,0.182,,,,
Quercus velutina,T,,2.02,0.140,0.162,,,,
Acer rubrum,T,,1.86,,,,,,
Acer saccharum,T,,1.77,,,,,,
Fagus grandfolia,T,,1.79,,,,,,
Populus grandidentata,T,,1.89,,,,,,
Quercus rubra,T,,2.04,,,,,,
Anacardium excelsum,T,0.93,1.92,0.220,0.145,,,,
Luehea seemannii,T,0.80,2.14,0.307,0.443,,,,
Castilla elastica,T,0.76,1.89,0.328,0.217,,,,
Antirrhoea trichantha,T,0.76,1.97,0.316,0.284,,,,
Urera caracasana,T,0.48,1.83,0.583,0.409,,,,
Cecropia longipes,T,0.46,2.06,0.417,0.478,,,,
Acer palmatum,T,,1.65,,,,,,
Acer mono,T,0.65,1.75,0.204,-0.044,,,,
Carpinus cordata,T,,1.80,,,,,,
Cornus contraversa,T,0.63,1.80,,,,,,
Ostrya japonica,T,0.67,1.81,,,,,,
Populus sieboldii,T,0.55,1.83,,,,,,
Prunus ssiori,T,,1.86,,,,,,
Maackia amurensis,T,0.63,1.88,,,,,,
Juglans ailanthifolia,T,0.57,1.90,0.491,0.392,,,,
Cercidiphyllum japonicum,T,0.64,1.86,,,,,,
Sorbus commixta,T,0.71,1.87,,,,,,
Fraxinus madshurica,T,0.57,1.86,0.380,0.238,,,,
Kalopanax pictus,T,,1.88,,,,,,
Tilia japonica,T,,1.87,0.380,0.249,,,,
Betula maximowicziana,T,,1.86,,,,,,
Betula platyphylla,T,,1.86,0.531,0.395,,,,
Alnus hirsuta,T,0.52,1.89,0.505,0.400,,,,
Tilia maximowicziana,T,,1.91,,,,,,
Ulmus davidiana,T,,1.92,0.505,0.424,,,,
Prunus sargentii,T,,1.93,,,,,,
Sorbus alnifolia,T,,1.93,,,,,,
Magnolia obovata,T,0.62,1.91,,,,,,
Alnus japonica,T,,1.91,,,,,,
Betula ermanii,T,0.65,1.91,,,,,,
Fagus crenata,T,0.73,1.98,,,,,,
Quercus mongolica,T,0.72,1.96,,,,,,
Ulmus laciniata,T,0.55,1.98,,,,,,
Betula davurica,T,,1.98,,,,,,
Salix hultenii,T,,2.01,,,,,,
Populus maximowiczii,T,0.56,2.01,,,,,,
Nothofagus menziesii,T,,2.18,0.127,0.305,,,,
Griselinia littoralis,T,,2.03,0.020,0.050,,,,
Alnus incana,T,,1.86,0.507,0.366,,,,
Betula pubescens,T,,1.84,0.441,0.279,,,,
Picea abies x obovata,T,,2.48,0.122,0.600,,,,
Pinus sylvestris,T,,2.48,-0.025,0.454,,,,
Populus tremula,T,,1.89,0.399,0.285,,,,
Sorbus aucuparia,T,,1.80,0.287,0.085,,,,
Acer campestre,T,0.79,1.98,0.288,0.267,,,,
Aegle marmelos,T,,2.06,0.286,0.345,,,,
Amoora rohitika,T,,1.61,0.258,-0.134,,,,
Annona squamosa,T,,1.74,0.501,0.241,,,,
Anthocephalus cadamba,T,,2.06,0.243,0.299,,,,
Artocarpus heterophyllus,T,,2.02,0.418,0.442,,,,
Artocarpus lakoocha,T,,1.96,0.299,0.262,,,,
Azadirachta indica,T,,1.90,0.484,0.382,,,,
Bambusa bambos,T,,1.79,0.362,0.156,,,,
Bauhinia variegata,T,,1.88,0.479,0.361,,,,
Bombax ceiba,T,,2.06,0.204,0.266,,,,
Cassia fistula,T,,1.82,0.342,0.158,,,,
Cordia dichotoma,T,,2.06,0.326,0.387,,,,
Crescentia cujete,T,,1.83,0.301,0.134,,,,
Dalbergia sissoo,T,,2.08,0.320,0.403,,,,
Dillenia indica,T,,1.96,0.134,0.097,,,,
Diospyros embryopteris,T,,2.01,0.212,0.220,,,,
Eucalyptus globulus,T,,2.16,0.104,0.265,,,,
Ficus benghalensis,T,,2.10,0.111,0.212,,,,
Ficus carica,T,,1.93,0.500,0.433,,,,
Ficus religiosa,T,,2.04,0.170,0.207,,,,
Ficus rumphii,T,,1.90,0.190,0.089,,,,
Grewia asiatica,T,,2.01,0.238,0.243,,,,
Holoptelia integrifolia,T,,1.80,0.439,0.236,,,,
Kigelia pinnata,T,,2.04,0.228,0.266,,,,
Lagerstroemia speciosa,T,,1.94,0.307,0.249,,,,
Litchi chinensis,T,,2.11,0.152,0.263,,,,
Madhuca indica,T,,2.05,0.248,0.298,,,,
Magnolia grandiflora,T,,2.19,0.127,0.321,,,,
Mallotus phillippensis,T,,1.76,0.396,0.154,,,,
Mangifera indica,T,,2.13,0.225,0.357,,,,
Mimusops elengi,T,,2.10,0.223,0.321,,,,
Mimusops hexendra,T,,2.09,0.210,0.299,,,,
Mitragyna parviflora,T,,1.96,0.292,0.251,,,,
Morus alba,T,,1.83,0.307,0.136,,,,
Nyctanthes arbor-tristis,T,,1.99,0.230,0.222,,,,
Polyalthia longifolia,T,,1.81,0.326,0.133,,,,
Polyalthia pendulosa,T,,1.86,0.403,0.259,,,,
Pongamia pinnata,T,,1.78,0.446,0.227,,,,
Populus deltoides,T,,2.01,0.382,0.394,,,,
Psidium guajava,T,,1.96,0.238,0.198,,,,
Pterospermum acerifolia,T,,1.98,0.155,0.136,,,,
Sapindus mykorossi,T,,1.72,0.479,0.198,,,,
Saraca indica,T,,1.95,0.310,0.256,,,,
Schleichera oleosa,T,,1.91,0.253,0.163,,,,
Semecarpus anacardium,T,,1.83,0.262,0.090,,,,
Spathodea companulata,T,,2.02,0.286,0.301,,,,
Spondias mangifera,T,,1.89,0.246,0.133,,,,
Sterculia alata,T,,1.94,0.358,0.300,,,,
Sterculia colorata,T,,1.95,0.217,0.166,,,,
Strychnos nuxvomica,T,,1.90,0.418,0.322,,,,
Swietinia mahogoni,T,,1.93,0.182,0.110,,,,
Syzygium jambos,T,,2.06,0.130,0.193,,,,
Tectona grandis,T,,2.13,0.176,0.307,,,,
Terminalia arjuna,T,,2.12,0.164,0.282,,,,
Terminalia bellirica,T,,2.20,-0.066,0.132,,,,
Terminalia chebula,T,,1.87,0.288,0.160,,,,
Thevetia paruviana,T,,1.86,0.283,0.145,,,,
Ziziphus jujuba,T,,2.12,0.246,0.366,,,,
Adina cordifolia,T,0.95,2.09,0.320,0.408,,,,
Anogeissus latifolia,T,,2.16,0.158,0.321,,,,
Bauhinia racemosa,T,,1.91,0.393,0.308,,,,
Boswellia serrata,T,,2.10,0.121,0.220,,,,
Bridelia retusa,T,,1.94,0.290,0.226,,,,
Buchanania lanzan,T,1.00,2.06,0.299,0.362,,,,
Butea monosperma,T,1.04,2.15,0.405,0.551,,,,
Diospyros melanoxylon,T,1.04,2.08,0.167,0.245,,,,
Ficus racemosa,T,0.85,1.96,0.322,0.286,,,,
Gardenia latifolia,T,,1.94,0.230,0.174,,,,
Hardwickia binata,T,,2.08,0.305,0.382,,,,
Lagerstroemia parviflora,T,,2.11,0.130,0.236,,,,
Lannea coromandelica,T,,1.91,0.210,0.116,,,,
Miliusa tomentosa,T,,1.93,0.356,0.290,,,,
Pterocarpus marsupium,T,,2.06,0.394,0.457,,,,
Shorea robusta,T,1.11,1.99,0.294,0.283,,,,
Soymida febrifuga,T,,2.13,0.149,0.277,,,,
Syzygium cumini,T,1.11,2.13,0.303,0.438,,,,
Terminalia alata,T,1.00,2.03,0.167,0.196,,,,
Wrightia tomentosa,T,,1.82,0.364,0.188,,,,
Xeromphis uliginosa,T,,1.92,0.193,0.118,,,,
Ziziphus glaberrima,T,,2.00,0.340,0.338,,,,
Aextoxicon punctatum,T,1.73,2.10,-0.018,0.086,,,,
Amomyrtus luma,T,1.62,2.15,0.004,0.152,,,,
Araucaria araucana,T,2.46,2.50,-0.237,0.266,,,,
Drimys winteri,T,1.62,2.25,-0.060,0.190,,,,
Embothrium coccineum,T,1.11,2.01,0.241,0.255,,,,
Eucryphia cordifolia,T,1.63,2.09,-0.004,0.079,,,,
Laurelia philippiana,T,1.67,2.13,0.193,0.320,,,,
Myrceugenia planipes,T,1.65,2.04,0.057,0.100,,,,
Nothofagus betuloides,T,1.45,2.22,0.076,0.292,,,,
Nothofagus nitida,T,1.58,2.18,0.064,0.243,,,,
Ovidia pillo-pillo,T,1.40,1.99,0.330,0.326,,,,
Podocarpus nubigena,T,1.94,2.31,-0.036,0.274,,,,
Podocarpus saligna,T,1.58,2.25,-0.032,0.216,,,,
Saxegothaea conspicua,T,1.70,2.12,0.029,0.153,,,,
Weinmannia trichosperma,T,1.38,2.17,-0.046,0.121,,,,
Cryptocarya alba,T,1.50,2.16,-0.071,0.091,,,,
Drimys winteri,T,1.45,2.14,0.033,0.170,,,,
Eucryphia cordifolia,T,1.43,2.13,-0.097,0.034,,,,
Luma apiculata,T,1.31,2.21,0.057,0.272,,,,
Nothofagus dombeyi,T,1.16,2.09,0.238,0.330,,,,
Podocarpus saligna,T,1.38,2.22,-0.009,0.213,,,,
Austrocedrus chilensis,T,1.46,2.29,0.037,0.330,,,,
Lomatia hirsuta,T,1.38,2.09,-0.076,0.016,,,,
Persea lingue,T,1.52,2.02,0.004,0.022,,,,
Podocarpus saligna,T,1.45,2.23,0.041,0.271,,,,
Prumnopitys andina,T,1.53,2.17,-0.032,0.136,,,,
Aextoxicon punctatum,T,1.64,2.13,-0.009,0.122,,,,
Dasyphyllum diacanthoides,T,1.20,2.12,0.083,0.202,,,,
Drimys winteri,T,1.56,2.26,-0.215,0.045,,,,
Embothrium coccineum,T,0.85,2.01,0.182,0.191,,,,
Eucryphia cordifolia,T,1.53,2.12,0.000,0.119,,,,
Gevuina avellana,T,1.72,2.19,-0.097,0.090,,,,
Laurelia philippiana,T,1.43,2.21,0.161,0.369,,,,
Luma apiculata,T,1.32,2.14,0.041,0.184,,,,
Myrceugenia planipes,T,1.56,2.12,0.000,0.125,,,,
Nothofagus dombeyi,T,1.30,2.13,0.111,0.241,,,,
Podocarpus nubigena,T,1.89,2.30,-0.125,0.176,,,,
Saxegothaea conspicua,T,1.56,2.11,-0.092,0.016,,,,
Andira inermis,T,1.08,,,,,,,
Cassia grandis,T,1.08,,,,,,,
Licania arborea,T,1.11,,,,,,,
Pithecellobium saman,T,1.06,,,,,,,
Psidium guajava,T,1.11,,,,,,,
Simarouba glauca,T,1.08,,,,,,,
Jacquinia pungens,T,0.81,,,,,,,
Quercus rotundifolia,T,1.38,2.38,0.137,0.490,,,,
Quercus suber,T,1.18,2.30,0.290,0.528,,,,
Quercus faginea,T,0.83,2.15,0.377,0.502,,,,
Quercus pyrenaica,T,0.73,2.09,0.438,0.521,,,,
Celtis africana,T,,2.07,0.430,0.496,,,,
Cordia caffra,T,,1.91,0.550,0.464,,,,
Ekebergia capensis,T,,2.03,0.574,0.602,,,,
Erythrina caffra,T,,1.78,0.775,0.553,,,,
Hyperacanthus amoenus,T,,1.95,0.543,0.491,,,,
Podocarpus elongatus,T,,2.44,0.185,0.625,,,,
Teclea natalensis,T,,1.88,0.569,0.447,,,,
Vepris undulata,T,,2.02,0.489,0.505,,,,
Zanthoxylum capense,T,,2.03,0.414,0.439,,,,
Calodendrum capense,T,,1.66,0.657,0.312,,,,
Celtis africana,T,,1.85,0.671,0.520,,,,
Curtissia dentata,T,,2.02,0.164,0.187,,,,
Ekebergia capensis,T,,2.15,0.193,0.340,,,,
Kiggelaria africana,T,,1.78,0.690,0.471,,,,
Olea capensis ssp macrocarpa,T,,2.22,0.055,0.274,,,,
Podocarpus falcatus,T,,2.30,0.091,0.386,,,,
Podocarpus latifolius,T,,2.49,0.025,0.513,,,,
Rapanea melanophloeos,T,,2.43,0.207,0.633,,,,
Rhus chirendensis,T,,2.00,0.431,0.431,,,,
Scolopia mundii,T,,2.09,0.159,0.252,,,,
Trichocladus ellipticus,T,,2.21,0.142,0.352,,,,
Vepris undulata,T,,1.84,0.410,0.245,,,,
Xymalos monospora,T,,1.90,0.344,0.248,,,,
Acacia robusta,T,,2.14,,,,,,
Adpdytes dimidiata,T,,2.18,0.365,0.540,,,,
Albizia adinathifolia,T,,1.98,0.580,0.563,,,,
Balanites maughamii,T,,2.10,0.594,0.697,,,,
Bequaertiodendron natalense,T,,2.15,0.408,0.559,,,,
Celtis africana,T,,1.70,0.565,0.269,,,,
Chaetachme aristata,T,,2.04,0.489,0.528,,,,
Diospyros natalensis,T,,2.06,0.275,0.338,,,,
Hymenocardia ulmoides,T,,2.05,0.324,0.371,,,,
Mimusops obovata,T,,1.99,0.398,0.393,,,,
Ochna natalitia,T,,2.04,,,,,,
Pancovia golungensis,T,,2.02,0.311,0.333,,,,
Psychotria capensis,T,,1.83,,,,,,
Rothmannia globosa,T,,1.81,0.501,0.314,,,,
Strychnos decussata,T,,1.98,0.387,0.369,,,,
Strychnos gerrardii,T,,1.99,0.230,0.218,,,,
Vepris undulata,T,,2.02,0.544,0.567,,,,
Diospyros whyteana,T,,2.10,0.270,0.367,,,,
Hartogiella schinoides,T,,2.31,0.127,0.433,,,,
Maytenus acuminata,T,,2.19,0.203,0.395,,,,
Maytenus oleodes,T,,2.30,0.115,0.418,,,,
Olea europaea ssp africana,T,,2.34,0.276,0.620,,,,
Olinia ventosa,T,,2.09,0.466,0.554,,,,
Podocarpus elongatus,T,,2.48,0.073,0.552,,,,
Brabejum stellatifolium,T,,2.40,-0.064,0.336,,,,
Brachylaena neriifolia,T,,2.15,,,,,,
Cunonia capensis,T,,2.26,,,,,,
Freylinia lanceolata,T,,2.44,,,,,,
Ilex mitis,T,,2.20,0.333,0.534,,,,
Kiggelaria africana,T,,2.00,0.397,0.394,,,,
Rapanea melanophloeos,T,,2.12,0.270,0.389,,,,
Rhus tomentosa,T,,2.21,,,,,,
Apodytes dimidiata,T,,2.20,0.284,0.483,,,,
Curtissia dentata,T,,2.03,0.174,0.202,,,,
Faurea macnaughtonii,T,,1.99,0.282,0.268,,,,
Ocotea bullata,T,,2.07,0.378,0.447,,,,
Olea capensis ssp macrocarpa,T,,2.17,0.108,0.274,,,,
Olinia ventosa,T,,1.91,0.459,0.368,,,,
Podocarpus falcatus,T,,2.28,0.163,0.442,,,,
Podocarpus latifolius,T,,2.34,0.083,0.423,,,,
Rapanea melanophloeos,T,,2.04,0.199,0.239,,,,
Trichocladus crinitus,T,,2.11,0.139,0.247,,,,
Acacia karroo,T,,2.00,0.606,0.606,,,,
Celtis africana,T,,1.95,0.512,0.464,,,,
Chaetachme aristata,T,,1.75,0.674,0.425,,,,
Chionanthus pegleriae,T,,2.05,0.295,0.346,,,,
Clausena anisata,T,,1.95,0.462,0.414,,,,
Diospyros inhacaensis,T,,2.01,,,,,,
Diospyros natalensis,T,,2.11,0.195,0.302,,,,
Dovyalis longispina,T,,2.07,0.477,0.548,,,,
Drypetes natalensis,T,,2.08,0.396,0.472,,,,
Eugenia woodii,T,,2.14,0.290,0.430,,,,
Inhambanella henriquesii,T,,1.99,0.359,0.351,,,,
Sideroxylon inerme,T,,2.15,,,,,,
Strychnos henningsii ssp gerrardii,T,,2.07,0.254,0.328,,,,
Teclea gerrardii,T,,1.92,0.551,0.471,,,,
Trema orientalis,T,,1.98,0.543,0.521,,,,
Ziziphus mucronata,T,,2.15,0.312,0.459,,,,
Cladostemon kirkii,T,,1.81,0.771,0.580,,,,
Cleistanthus schlechteri,T,,2.02,0.327,0.349,,,,
Cola greenwayi,T,,1.95,0.423,0.375,,,,
Combretum fruticosum,T,,1.94,0.482,0.426,,,,
Croton steenkampianus,T,,1.89,0.714,0.604,,,,
Dialium schlechteri,T,,1.93,0.516,0.442,,,,
Drypetes arguta,T,,2.06,,,,,,
Erythrophleum lasianthum,T,,1.84,0.687,0.522,,,,
Newtonia hildebrandtii,T,,2.13,,,,,,
Pteleopsis myrtifolia,T,,2.03,0.352,0.384,,,,
Salacia leptoclada,T,,1.97,0.359,0.327,,,,
